invoice_id,order_id,invoice_date,due_date,amount_due,tax,discount,total_amount,status
1,1,2023-01-04 00:00:00,2023-02-14 00:00:00,183.69,34.9011,10.06,208.53109999999998,partial
2,2,2023-01-03 01:00:00,2023-02-02 01:00:00,991.35,188.3565,4.0,1175.7065,partial
3,3,2023-01-03 02:00:00,2023-02-11 02:00:00,247.04,46.937599999999996,23.72,270.2576,partial
4,4,2023-01-03 03:00:00,2023-02-10 03:00:00,943.88,179.3372,0.5,1122.7172,unpaid
5,5,2023-01-04 04:00:00,2023-02-06 04:00:00,656.65,124.7635,4.24,777.1735,unpaid
6,6,2023-01-02 05:00:00,2023-02-06 05:00:00,615.58,116.96020000000001,40.38,692.1602,unpaid
7,7,2023-01-03 06:00:00,2023-02-06 06:00:00,522.43,99.26169999999999,38.57,583.1216999999999,paid
8,8,2023-01-04 07:00:00,2023-02-01 07:00:00,246.06,46.751400000000004,45.76,247.0514,partial
9,9,2023-01-04 08:00:00,2023-02-05 08:00:00,193.0,36.67,42.73,186.94000000000003,partial
10,10,2023-01-05 09:00:00,2023-02-01 09:00:00,236.08,44.8552,34.16,246.7752,unpaid
11,11,2023-01-04 10:00:00,2023-02-05 10:00:00,202.71,38.514900000000004,2.62,238.60490000000001,paid
12,12,2023-01-02 11:00:00,2023-02-12 11:00:00,783.99,148.9581,39.14,893.8081000000001,paid
13,13,2023-01-03 12:00:00,2023-02-09 12:00:00,363.12,68.9928,42.28,389.8328,paid
14,14,2023-01-04 13:00:00,2023-02-02 13:00:00,76.69,14.5711,39.95,51.311099999999996,unpaid
15,15,2023-01-02 14:00:00,2023-02-13 14:00:00,969.72,184.2468,25.42,1128.5468,paid
16,16,2023-01-04 15:00:00,2023-02-01 15:00:00,886.11,168.36090000000002,11.65,1042.8209,paid
17,17,2023-01-04 16:00:00,2023-02-11 16:00:00,929.2,176.548,42.27,1063.478,paid
18,18,2023-01-04 17:00:00,2023-02-14 17:00:00,995.01,189.0519,36.36,1147.7019,partial
19,19,2023-01-04 18:00:00,2023-02-13 18:00:00,190.42,36.1798,49.04,177.5598,unpaid
20,20,2023-01-04 19:00:00,2023-02-05 19:00:00,408.32,77.5808,7.78,478.12080000000003,partial
21,21,2023-01-02 20:00:00,2023-02-01 20:00:00,763.07,144.9833,11.28,896.7733000000001,partial
22,22,2023-01-03 21:00:00,2023-02-04 21:00:00,702.1,133.399,10.59,824.909,unpaid
23,23,2023-01-03 22:00:00,2023-02-01 22:00:00,170.82,32.455799999999996,39.63,163.6458,partial
24,24,2023-01-03 23:00:00,2023-02-02 23:00:00,819.52,155.7088,9.35,965.8788,paid
25,25,2023-01-04 00:00:00,2023-02-03 00:00:00,239.95,45.5905,3.33,282.2105,paid
26,26,2023-01-03 01:00:00,2023-02-06 01:00:00,239.34,45.4746,49.93,234.88459999999998,paid
27,27,2023-01-06 02:00:00,2023-02-06 02:00:00,546.23,103.78370000000001,1.24,648.7737,paid
28,28,2023-01-06 03:00:00,2023-02-10 03:00:00,601.08,114.2052,41.76,673.5252,unpaid
29,29,2023-01-03 04:00:00,2023-02-03 04:00:00,588.48,111.8112,18.27,682.0212,partial
30,30,2023-01-03 05:00:00,2023-02-03 05:00:00,109.66,20.8354,42.08,88.41539999999999,partial
31,31,2023-01-05 06:00:00,2023-02-13 06:00:00,879.91,167.1829,27.73,1019.3628999999999,paid
32,32,2023-01-05 07:00:00,2023-02-12 07:00:00,280.29,53.255100000000006,45.08,288.46510000000006,paid
33,33,2023-01-05 08:00:00,2023-02-13 08:00:00,146.92,27.9148,46.31,128.52479999999997,partial
34,34,2023-01-04 09:00:00,2023-02-01 09:00:00,890.97,169.2843,0.45,1059.8043,unpaid
35,35,2023-01-05 10:00:00,2023-02-07 10:00:00,956.54,181.74259999999998,3.77,1134.5126,partial
36,36,2023-01-06 11:00:00,2023-02-13 11:00:00,864.89,164.3291,12.52,1016.6991,paid
37,37,2023-01-04 12:00:00,2023-02-08 12:00:00,813.33,154.5327,33.47,934.3927,paid
38,38,2023-01-05 13:00:00,2023-02-02 13:00:00,662.14,125.8066,44.41,743.5366,unpaid
39,39,2023-01-04 14:00:00,2023-02-04 14:00:00,559.84,106.3696,23.0,643.2096,partial
40,40,2023-01-06 15:00:00,2023-02-10 15:00:00,105.25,19.9975,30.35,94.89750000000001,unpaid
41,41,2023-01-05 16:00:00,2023-02-07 16:00:00,420.28,79.8532,9.42,490.7132,unpaid
42,42,2023-01-06 17:00:00,2023-02-08 17:00:00,385.23,73.1937,40.25,418.17370000000005,paid
43,43,2023-01-06 18:00:00,2023-02-01 18:00:00,274.56,52.1664,48.37,278.3564,partial
44,44,2023-01-06 19:00:00,2023-02-04 19:00:00,728.95,138.50050000000002,13.43,854.0205000000001,paid
45,45,2023-01-05 20:00:00,2023-02-06 20:00:00,505.96,96.1324,24.74,577.3524,partial
46,46,2023-01-03 21:00:00,2023-02-03 21:00:00,99.43,18.8917,4.31,114.0117,paid
47,47,2023-01-05 22:00:00,2023-02-05 22:00:00,235.78,44.7982,27.96,252.61819999999997,paid
48,48,2023-01-06 23:00:00,2023-02-10 23:00:00,689.59,131.0221,25.14,795.4721000000001,partial
49,49,2023-01-06 00:00:00,2023-02-10 00:00:00,94.61,17.9759,7.22,105.3659,partial
50,50,2023-01-07 01:00:00,2023-02-12 01:00:00,854.18,162.2942,22.1,994.3741999999999,paid
51,51,2023-01-04 02:00:00,2023-02-14 02:00:00,505.24,95.9956,16.71,584.5255999999999,partial
52,52,2023-01-05 03:00:00,2023-02-04 03:00:00,490.97,93.2843,26.09,558.1643,paid
53,53,2023-01-04 04:00:00,2023-02-06 04:00:00,600.56,114.1064,29.28,685.3864,partial
54,54,2023-01-04 05:00:00,2023-02-09 05:00:00,828.19,157.35610000000003,0.42,985.1261000000001,paid
55,55,2023-01-05 06:00:00,2023-02-07 06:00:00,360.85,68.56150000000001,38.05,391.36150000000004,paid
56,56,2023-01-06 07:00:00,2023-02-05 07:00:00,684.46,130.0474,35.65,778.8574000000001,paid
57,57,2023-01-05 08:00:00,2023-02-09 08:00:00,574.42,109.1398,18.31,665.2498,unpaid
58,58,2023-01-06 09:00:00,2023-02-12 09:00:00,281.69,53.5211,2.65,332.5611,partial
59,59,2023-01-06 10:00:00,2023-02-04 10:00:00,881.06,167.4014,37.75,1010.7113999999999,paid
60,60,2023-01-07 11:00:00,2023-02-04 11:00:00,801.48,152.2812,47.76,906.0012,unpaid
61,61,2023-01-07 12:00:00,2023-02-05 12:00:00,665.28,126.4032,12.01,779.6732,paid
62,62,2023-01-05 13:00:00,2023-02-10 13:00:00,853.57,162.1783,16.18,999.5683000000001,unpaid
63,63,2023-01-04 14:00:00,2023-02-06 14:00:00,869.95,165.2905,9.19,1026.0505,paid
64,64,2023-01-05 15:00:00,2023-02-09 15:00:00,714.2,135.698,28.85,821.048,paid
65,65,2023-01-06 16:00:00,2023-02-07 16:00:00,840.27,159.6513,7.74,992.1813,unpaid
66,66,2023-01-07 17:00:00,2023-02-04 17:00:00,703.52,133.6688,17.81,819.3788000000001,unpaid
67,67,2023-01-05 18:00:00,2023-02-16 18:00:00,686.54,130.4426,34.85,782.1325999999999,partial
68,68,2023-01-05 19:00:00,2023-02-09 19:00:00,626.24,118.9856,28.01,717.2156,partial
69,69,2023-01-07 20:00:00,2023-02-13 20:00:00,757.66,143.9554,19.32,882.2953999999999,unpaid
70,70,2023-01-07 21:00:00,2023-02-10 21:00:00,175.43,33.331700000000005,21.01,187.75170000000003,partial
71,71,2023-01-07 22:00:00,2023-02-09 22:00:00,883.25,167.8175,28.11,1022.9575000000001,unpaid
72,72,2023-01-06 23:00:00,2023-02-14 23:00:00,874.41,166.1379,0.29,1040.2579,partial
73,73,2023-01-08 00:00:00,2023-02-06 00:00:00,48.66,9.2454,3.93,53.9754,paid
74,74,2023-01-05 01:00:00,2023-02-16 01:00:00,829.3,157.567,44.06,942.807,partial
75,75,2023-01-06 02:00:00,2023-02-16 02:00:00,146.29,27.795099999999998,3.89,170.1951,paid
76,76,2023-01-08 03:00:00,2023-02-15 03:00:00,348.42,66.19980000000001,35.34,379.2798,paid
77,77,2023-01-08 04:00:00,2023-02-13 04:00:00,748.64,142.2416,46.0,844.8815999999999,partial
78,78,2023-01-07 05:00:00,2023-02-08 05:00:00,177.54,33.7326,13.53,197.74259999999998,unpaid
79,79,2023-01-07 06:00:00,2023-02-03 06:00:00,821.61,156.1059,18.52,959.1959,paid
80,80,2023-01-06 07:00:00,2023-02-06 07:00:00,835.49,158.7431,28.45,965.7831,paid
81,81,2023-01-05 08:00:00,2023-02-10 08:00:00,517.32,98.2908,44.09,571.5208,partial
82,82,2023-01-06 09:00:00,2023-02-03 09:00:00,26.26,4.989400000000001,47.1,-15.8506,unpaid
83,83,2023-01-08 10:00:00,2023-02-05 10:00:00,301.3,57.247,36.98,321.567,unpaid
84,84,2023-01-05 11:00:00,2023-02-03 11:00:00,624.59,118.6721,4.33,738.9321,partial
85,85,2023-01-05 12:00:00,2023-02-11 12:00:00,981.56,186.4964,33.46,1134.5964,unpaid
86,86,2023-01-05 13:00:00,2023-02-04 13:00:00,639.18,121.4442,20.52,740.1042,partial
87,87,2023-01-05 14:00:00,2023-02-11 14:00:00,274.61,52.175900000000006,23.54,303.2459,partial
88,88,2023-01-06 15:00:00,2023-02-15 15:00:00,641.33,121.85270000000001,2.46,760.7227,partial
89,89,2023-01-07 16:00:00,2023-02-06 16:00:00,549.19,104.3461,9.55,643.9861000000001,paid
90,90,2023-01-07 17:00:00,2023-02-04 17:00:00,784.25,149.0075,39.53,893.7275,paid
91,91,2023-01-08 18:00:00,2023-02-06 18:00:00,124.84,23.7196,22.7,125.85959999999999,paid
92,92,2023-01-07 19:00:00,2023-02-14 19:00:00,765.81,145.5039,15.08,896.2338999999998,partial
93,93,2023-01-07 20:00:00,2023-02-13 20:00:00,550.44,104.58360000000002,19.2,635.8236,paid
94,94,2023-01-07 21:00:00,2023-02-13 21:00:00,963.73,183.1087,42.72,1104.1187,paid
95,95,2023-01-07 22:00:00,2023-02-12 22:00:00,355.03,67.4557,37.45,385.03569999999996,paid
96,96,2023-01-08 23:00:00,2023-02-08 23:00:00,639.97,121.5943,13.62,747.9443,partial
97,97,2023-01-07 00:00:00,2023-02-18 00:00:00,933.39,177.3441,5.88,1104.8540999999998,partial
98,98,2023-01-06 01:00:00,2023-02-14 01:00:00,120.46,22.8874,12.6,130.7474,partial
99,99,2023-01-08 02:00:00,2023-02-10 02:00:00,938.48,178.3112,46.04,1070.7512000000002,paid
